1274,Gabrovka,"",Slovenija,46.0000203,14.987068
8254,Globoko,"",Slovenija,45.9549606,15.634387
5275,Godovič,"",Slovenija,45.9575215,14.092265
4204,Golnik,"",Slovenija,46.3269968,14.3332684
3303,Gomilsko,"",Slovenija,46.25284370000001,15.0432137
4224,Gorenja vas,"",Slovenija,46.1057691,14.1437462
3263,Gorica pri Slivnici,"",Slovenija,46.1871579,15.4310401
2272,Gorišnica,"",Slovenija,46.4120271,16.0133089
9250,Gornja Radgona,"",Slovenija,46.6767099,15.9910846
3342,Gornji Grad,"",Slovenija,46.2961712,14.8062347
4282,Gozd Martuljek,"",Slovenija,46.4854261,13.8453866
6272,Gračišče,"",Slovenija,45.50495979999999,13.8779401
9264,Grad,"",Slovenija,46.801689,16.0924382
8332,Gradac,"",Slovenija,45.6140414,15.2453954
1384,Grahovo,"",Slovenija,45.7704239,14.4241515
5242,Grahovo ob Bači,"",Slovenija,46.1570863,13.8656231
5251,Grgar,"",Slovenija,46.0003226,13.6746556
3302,Griže,"",Slovenija,46.2299033,15.1538341
3231,Grobelno,"",Slovenija,46.2150556,15.4474167
1290,Grosuplje,"",Slovenija,45.9557645,14.658899
2288,Hajdina,"",Slovenija,46.4185014,15.8244722
8362,Hinje,"",Slovenija,45.7662834,14.886326799999999
2311,Hoče,"",Slovenija,46.50098329999999,15.6630694
9205,Hodoš - Hodos,"",Slovenija,46.8314134,16.321068
1354,Horjul,"",Slovenija,46.02253779999999,14.2986269
1372,Hotedršica,"",Slovenija,45.9300654,14.1399566
1430,Hrastnik,"",Slovenija,46.1417288,15.0844894
6225,Hruševje,"",Slovenija,45.7623462,14.1168294
4276,Hrušica,"",Slovenija,46.4476799,14.0197219
5280,Idrija,"",Slovenija,46.00294539999999,14.0278459
1292,Ig,"",Slovenija,45.9588213,14.5282718
6250,Ilirska Bistrica,"",Slovenija,45.570099,14.2418616
1295,Ivančna Gorica,"",Slovenija,45.9395841,14.8047626
2259,Ivanjkovci,"",Slovenija,46.46520049999999,16.151144
1411,Izlake,"",Slovenija,46.1544155,14.9301007
6310,Izola - Isola,"",Slovenija,45.5374048,13.6600802
2222,Jakobski Dol,"",Slovenija,46.6370453,15.7439998
2221,Jarenina,"",Slovenija,46.6441474,15.6934474
6254,Jelšane,"",Slovenija,45.5014663,14.2715973
4270,Jesenice,"",Slovenija,46.4367047,14.0526057
8261,Jesenice na Dolenjskem,"",Slovenija,45.8516077,15.646063
3273,Jurklošter,"",Slovenija,46.0944899,15.3439407
2223,Jurovski Dol,"",Slovenija,46.6063814,15.7861748
2256,Juršinci,"",Slovenija,46.4850899,15.9714564
5214,Kal nad Kanalom,"",Slovenija,46.0829324,13.7420302
3233,Kalobje,"",Slovenija,46.16925080000001,15.392994999999999
4246,Kamna Gorica,"",Slovenija,46.316389,14.1940129
2351,Kamnica,"",Slovenija,46.5734584,15.6125252
1241,Kamnik,"",Slovenija,46.2221964,14.6072968
5213,Kanal,"",Slovenija,46.0853803,13.634308
8258,Kapele,"",Slovenija,45.9304172,15.6773872
2362,Kapla,"",Slovenija,46.6331044,15.3814548
2325,Kidričevo,"",Slovenija,46.4050135,15.7947234
1412,Kisovec,"",Slovenija,46.1399991,14.9617162
6253,Knežak,"",Slovenija,45.6246746,14.244941
5222,Kobarid,"",Slovenija,46.2476549,13.5791749
9227,Kobilje,"",Slovenija,46.68518,16.3936719
