5211,Kojsko,"",Slovenija
6223,Komen,"",Slovenija
1218,Komenda,"",Slovenija
6501,Koper - Capodistria,Luka Koper,Slovenija
6502,Koper - Capodistria,Banka Koper,Slovenija
6503,Koper - Capodistria,Adriatic zavarovalna družba,Slovenija
6504,Koper - Capodistria,Intereuropa Koper,Slovenija
6600,Koper - Capodistria,"Pošta Slovenije d.o.o., PE Koper",Slovenija
6000,Koper - Capodistria,"",Slovenija
6001,Koper - Capodistria,"",Slovenija
6200,Koper - Capodistria,"Pošta Slovenije d.o.o., PPP Koper",Slovenija
8282,Koprivnica,"",Slovenija
5296,Kostanjevica na Krasu,"",Slovenija
8311,Kostanjevica na Krki,"",Slovenija
1336,Kostel,"",Slovenija
6256,Košana,"",Slovenija
2394,Kotlje,"",Slovenija
6240,Kozina,"",Slovenija
3260,Kozje,"",Slovenija
4502,Kranj,Sava,Slovenija
4600,Kranj,"Pošta Slovenije d.o.o., PE Kranj",Slovenija
4000,Kranj,"",Slovenija
4001,Kranj,"",Slovenija
4200,Kranj,"Pošta Slovenije d.o.o, PPP Šenčur",Slovenija
4280,Kranjska Gora,"",Slovenija
1281,Kresnice,"",Slovenija
4294,Križe,"",Slovenija
9206,Križevci,"",Slovenija
9242,Križevci pri Ljutomeru,"",Slovenija
1301,Krka,"",Slovenija
8296,Krmelj,"",Slovenija
4245,Kropa,"",Slovenija
8262,Krška vas,"",Slovenija
8270,Krško,"",Slovenija
9263,Kuzma,"",Slovenija
2318,Laporje,"",Slovenija
3270,Laško,"",Slovenija
1219,Laze v Tuhinju,"",Slovenija
2230,Lenart v Slovenskih goricah,"",Slovenija
9220,Lendava - Lendva,"",Slovenija
4248,Lesce,"",Slovenija
3261,Lesično,"",Slovenija
8273,Leskovec pri Krškem,"",Slovenija
2372,Libeliče,"",Slovenija
2341,Limbuš,"",Slovenija
1270,Litija,"",Slovenija
3202,Ljubečna,"",Slovenija
1000,Ljubljana,"",Slovenija
1001,Ljubljana,"",Slovenija
1501,Ljubljana,Ministrstvo za notranje zadeve,Slovenija
1502,Ljubljana,Ministrstvo za finance,Slovenija
1503,Ljubljana,Okrožno sodišče v Ljubljani,Slovenija
1504,Ljubljana,Gospodarska zbornica Slovenije,Slovenija
1505,Ljubljana,Banka Slovenije,Slovenija
1506,Ljubljana,Slovenske železnice,Slovenija
1507,Ljubljana,Zavod za zdrav. zav. Slov.,Slovenija
1509,Ljubljana,Delo,Slovenija
1510,Ljubljana,Dnevnik,Slovenija
1511,Ljubljana,Slovenijales,Slovenija
1512,Ljubljana,Cankarjeva založba,Slovenija
1513,Ljubljana,SKB banka,Slovenija
1514,Ljubljana,Kompas,Slovenija
1516,Ljubljana,Elektro Ljubljana,Slovenija
1517,Ljubljana,Abanka Vipa,Slovenija
1518,Ljubljana,Zavod za pokoj. in inval. zav. Slov.,Slovenija
1519,Ljubljana,SPL Ljubljana,Slovenija
1520,Ljubljana,Nova Ljubljanska banka,Slovenija
1521,Ljubljana,Iskra invest,Slovenija
1522,Ljubljana,Chemo,Slovenija
1523,Ljubljana,Carinska uprava Republike Slovenije,Slovenija
1524,Ljubljana,Carinarnica Ljubljana,Slovenija
1525,Ljubljana,Klinični center Ljubljana,Slovenija
1526,Ljubljana,Lek,Slovenija
1527,Ljubljana,Petrol,Slovenija
1528,Ljubljana,Emona,Slovenija
