3505+Celje+Merkur+Slovenija
6251+Ilirska%20Bistrica%20-%20Trnovo++Slovenija
1504+Ljubljana+Gospodarska%20zbornica%20Slovenije+Slovenija
1507+Ljubljana+Zavod%20za%20zdrav.%20zav.%20Slov.+Slovenija
1510+Ljubljana+Dnevnik+Slovenija
1511+Ljubljana+Slovenijales+Slovenija
1512+Ljubljana+Cankarjeva%20zalo%C5%BEba+Slovenija
1513+Ljubljana+SKB%20banka+Slovenija
1514+Ljubljana+Kompas+Slovenija
1517+Ljubljana+Abanka%20Vipa+Slovenija
1518+Ljubljana+Zavod%20za%20pokoj.%20in%20inval.%20zav.%20Slov.+Slovenija
1520+Ljubljana+Nova%20Ljubljanska%20banka+Slovenija
1521+Ljubljana+Iskra%20invest+Slovenija
1522+Ljubljana+Chemo+Slovenija
1523+Ljubljana+Carinska%20uprava%20Republike%20Slovenije+Slovenija
1526+Ljubljana+Lek+Slovenija
1527+Ljubljana+Petrol+Slovenija
1529+Ljubljana+%C5%BDito+Slovenija
1532+Ljubljana+Salamonov%20oglasnik+Slovenija
1536+Ljubljana+Mladinska%20knjiga%20Zalo%C5%BEba+Slovenija
1537+Ljubljana+Mobitel,%20d.d.+Slovenija
1538+Ljubljana+DZS+Slovenija
1540+Ljubljana+EPPS,%20Elektron.%20pismo%20Po%C5%A1te%20Slov.+Slovenija
1542+Ljubljana+KDD%20-%20Centralna%20klirin%C5%A1ko%20depotna%20dru%C5%BEba+Slovenija
1543+Ljubljana+%C5%A0portna%20loterija+Slovenija
1545+Ljubljana+Kanal%20A+Slovenija
1546+Ljubljana+Telekom%20Slovenije+Slovenija
1004+Ljubljana%20-%20carinska%20po%C5%A1ta++Slovenija
1002+Ljubljana%20-%20po%C5%A1tni%20center++Slovenija
2504+Maribor+Ve%C4%8Der+Slovenija
2506+Maribor+Henkel%20Slovenija+Slovenija
2609+Maribor+Po%C5%A1ta%20Slovenije%20d.o.o.,%20Paketni%20ekspedit+Slovenija
2610+Maribor+Po%C5%A1ta%20Slovenije%20d.o.o.,%20Centralna%20RA%20pisarna+Slovenija
4501+Naklo+Merkur+Slovenija
3504+Velenje+ERA+Slovenija
